x1,y1,x2,y2,x3,y3
277.78,99.30,269.77,88.79,304.23,86.50,277.78,99.30
304.23,86.50,293.03,70.99,269.77,88.79,304.23,86.50
269.77,88.79,257.40,84.04,293.03,70.99,269.77,88.79
293.03,70.99,271.06,60.52,257.40,84.04,293.03,70.99
257.40,84.04,249.99,58.70,271.06,60.52,257.40,84.04
257.40,84.04,245.12,83.69,249.99,58.70,257.40,84.04
249.99,58.70,232.44,61.12,245.12,83.69,249.99,58.70
245.12,83.69,231.32,87.33,232.44,61.12,245.12,83.69
232.44,61.12,214.78,67.73,231.32,87.33,232.44,61.12
231.32,87.33,215.39,97.91,214.78,67.73,231.32,87.33
214.78,67.73,199.05,78.68,215.39,97.91,214.78,67.73
278.89,109.77,244.24,111.71,278.89,131.11,278.89,109.77
253.35,132.03,278.89,131.11,244.24,111.71,253.35,132.03
253.35,132.03,237.20,135.65,244.24,111.71,253.35,132.03
244.24,111.71,223.36,116.18,237.20,135.65,244.24,111.71
237.20,135.65,227.26,142.07,223.36,116.18,237.20,135.65
223.36,116.18,205.93,124.67,227.26,142.07,223.36,116.18
227.26,142.07,224.03,148.22,205.93,124.67,227.26,142.07
205.93,124.67,194.76,138.30,224.03,148.22,205.93,124.67
224.03,148.22,192.82,161.50,194.76,138.30,224.03,148.22
224.03,148.22,224.92,158.71,192.82,161.50,224.03,148.22
192.82,161.50,200.42,176.83,224.92,158.71,192.82,161.50
224.92,158.71,232.79,165.75,200.42,176.83,224.92,158.71
200.42,176.83,212.27,185.86,232.79,165.75,200.42,176.83
212.27,185.86,230.93,191.43,232.79,165.75,212.27,185.86
232.79,165.75,245.69,168.00,230.93,191.43,232.79,165.75
230.93,191.43,245.85,191.62,245.80,168.00,230.93,191.43
245.85,191.62,261.56,187.37,245.69,168.00,245.85,191.62
245.69,168.00,258.06,166.38,261.56,187.37,245.69,168.00
261.56,187.37,272.63,180.16,258.06,166.38,261.56,187.37
258.06,166.38,270.03,159.67,272.63,180.16,258.06,166.38
272.63,180.16,279.42,172.75,270.03,159.67,272.63,180.16
276.55,149.61,270.03,159.67,279.42,172.75,276.55,149.61
276.55,149.61,278.89,131.11,279.42,172.75,276.55,149.61
346.34,188.82,377.96,188.82,377.96,62.34,346.34,188.82
362.15,19.40,361.89,0.42,376.23,5.61,362.15,19.40
362.15,19.40,376.23,5.61,382.44,19.40,362.15,19.40
362.15,19.40,382.44,19.40,376.23,33.18,362.15,19.40
362.15,19.40,363.07,38.34,376.23,33.18,362.15,19.40
362.15,19.40,341.86,19.40,347.92,33.01,362.15,19.40
341.86,19.40,347.92,5.79,362.15,19.40,341.86,19.40
347.92,5.79,361.89,0.42,362.15,19.40,347.92,5.79
448.38,113.83,416.43,188.82,448.05,188.82,448.38,113.83
448.38,113.83,416.43,113.83,416.43,188.82,448.38,113.83
448.38,113.83,446.47,82.63,416.43,113.83,448.38,113.83
446.47,82.63,416.43,62.34,416.43,113.83,446.47,82.63
501.27,188.82,532.89,188.82,532.89,109.77,501.27,188.82
501.08,112.82,527.97,84.71,532.89,109.77,501.08,112.82
498.35,99.21,501.08,112.82,527.97,84.71,498.35,99.21
527.97,84.71,516.76,69.09,498.35,99.21,527.97,84.71
498.35,99.21,492.55,90.25,516.76,69.09,498.35,99.21
516.76,69.09,500.63,60.50,492.55,90.25,516.76,69.09
492.55,90.25,482.41,85.40,500.63,60.50,492.55,90.25
500.63,60.50,486.25,58.66,482.41,85.40,500.63,60.50
482.41,85.40,475.14,85.09,486.25,58.66,482.41,85.40
486.25,58.66,473.90,60.36,475.14,85.09,486.25,58.66
475.14,85.09,466.02,87.27,473.90,60.36,475.14,85.09
473.90,60.36,461.28,66.17,466.02,87.27,473.90,60.36
466.02,87.27,458.57,92.16,461.28,66.17,466.02,87.27
461.28,66.17,451.30,75.41,458.57,92.16,461.28,66.17
452.68,99.89,446.99,82.63,451.30,75.41,452.68,99.89
452.68,99.89,448.38,113.83,446.47,82.63,452.68,99.89
451.30,75.41,452.68,99.89,458.57,92.16,451.30,75.41
501.08,112.82,501.27,188.82,532.89,109.77,501.08,112.82
